Plaatsnaam	Bedrijfsnaam	Winkelnaam	Straatnaam	Huisnummer	Huisnummer toevoeging
Genk	Lidl	Genk - Waterschei	Stalenstraat	215	1
					
Wellen	Lidl	Wellen	Dorpsstraat	28	A1
					
Maaseik	Lidl	Maaseik	Koning Albertlaan	37 - 39	
					
Tessenderlo	Lidl	Tessenderlo	Diesterstraat	213	A
					
Lanaken	Lidl	Lanaken	Maaseikersteenweg	197	
					
Dilsen-Stokkem	Lidl	Dilsen	Oude Kerkstraat	3	
					
Paal	Lidl	Paal	Diestersesteenweg	70	
					
Koersel	Lidl	Koersel	Albert I-laan	27	
					
Sint-Truiden	Lidl	Sint-Truiden - Hasseltsesteenweg	Hasseltsesteenweg	37	
					
Heusden-Zolder	Lidl	Heusden	Brugstraat	48	
					
Lommel	Lidl	Lommel	Binnensingel	50	
					
Lummen	Lidl	Lummen	Groenstraat	4	
					
Ham	Lidl	Oostham	Torenlaan	7	A
					
Hasselt	Lidl	Hasselt	Kempische Steenweg	144-146	
					
Neerpelt	Lidl	Neerpelt	Heerstraat	69	
					
Genk	Lidl	Genk - Hasseltweg	Hasseltweg	24	
					
Kermt (Hasselt)	Lidl	Kermt	Diestersteenweg	104	
					
Heusden-Zolder	Lidl	Zolder	Meylandtlaan	171	
					
Sint-Lambrechts-Herk	Lidl	Sint-Lambrechts-Herk	Sint-Truidersteenweg	470	A
					
Bree	Lidl	Bree	Toleikstraat	12	
					
Maasmechelen	Lidl	Maasmechelen - Koninginnelaan	Koninginnelaan	141	2
					
Zonhoven	Lidl	Zonhoven	Heuveneindeweg	24	
					
Tongeren	Lidl	Tongeren Luikersteenweg	T-Forum	23	
					
Peer	Lidl	Peer	Kleine Ambachtslaan	7	
					
Sint-Truiden	Lidl	Sint-Truiden - Stayen	Tiensesteenweg	172	
					
Houthalen	Lidl	Houthalen	Grote Baan	22	
					
As	Lidl	As	Steenweg	184	1
					
Bilzen	Lidl	Bilzen-Tongersestraat	Tongersestraat	64	
					
Leopoldsburg	Lidl	Leopoldsburg-Lommelsesteenweg	Lommelsesteenweg	8	
					
Herstal	Lidl	Herstal - Rue Dumonceau	Rue Dumonceau	45	
					
Grivegnée (Liège)	Lidl	Grivegnée	Rue de Herve	184	
					
Seraing	Lidl	Seraing - Bd. Pasteur	Boulevard Pasteur	47	
					
Verviers	Lidl	Verviers	Rue de Limbourg	11	
					
Ans	Lidl	Ans	Rue des Trois Rois	207	
					
Flémalle	Lidl	Flémalle	Grand' Route	430	
					
Soumagne	Lidl	Soumagne	Avenue de la Résistance	364	
					
Battice (Herve)	Lidl	Herve Battice	Rue de Herve	100	
					
Aywaille	Lidl	Aywaille	Rue du Châlet	65	
					
Herstal	Lidl	Herstal - Basse Campagne	Rue Basse Campagne	189	
					
Fléron	Lidl	Fléron	Rue Bay Bonnet	8	
					
Waremme	Lidl	Waremme	Rue Saint-Eloi	60	
					
Amay	Lidl	Amay	Rue Marneffe	47	
					
Dison	Lidl	Dison	Rue Pisseroule	300	
					
Chenée	Lidl	Chenée	Rue de Gaillarmont	53	
					
La Calamine	Lidl	La Calamine	Route de Liège	249	
					
Spa	Lidl	Spa	Avenue Reine Astrid	240	
					
Ensival	Lidl	Ensival	En Mi-Ville	59	
					
Haccourt	Lidl	Haccourt	Rue Libert Froidmont	47	
					
Awans	Lidl	Hognoul (Awans)	Rue Louis Germeaux	42	
					
Liège	Lidl	Liège - Haut-Pré	Rue Joseph Demoulin	21	
					
Sprimont	Lidl	Sprimont	Rue Fond Leval	30	
					
Liège	Lidl	Liège - Sclessin	Rue Ernest Solvay	229	
					
Tilff	Lidl	Tilff	Avenue Laboulle	17	
					
Barchon	Lidl	Barchon	Rue Champs de Tignée	20	
					
Huy	Lidl	Huy	Avenue du Bosquet	41	6
					
Jemeppe S/Meuse	Lidl	Jemeppe-sur-Meuse	Rue de la station	111	
					
Malmedy	Lidl	Malmédy	Avenue du Pont de Warche	5	a
					
Montegnée	Lidl	Montegnée	Chaussée Winston Churchill,	80	
					
Liège	Lidl	Liège - Rocourt	Chaussée de Tongres	116	
					
