Bedrijfsnaam;Straatnaam;Huisnummer;Huisnummer toevoeging;;Plaatsnaam
HUBO EKEREN;EKERSESTEENWEG ;6;;;EKEREN (ANTWERPEN)
HUBO DISON;AVENUE JARDIN ECOLE ;43;;;DISON
HUBO BEVEREN;GENTSEWEG;329;;;BEVEREN
HUBO MERCHTEM;STOOFSTRAAT ;25;;;MERCHTEM
HUBO RIJKEVORSEL;MERKSPLASSESTEENWEG;108;B2;;RIJKEVORSEL
