"Bedrijfsnaam	Straat	Huisnummer	Huisnummer toevoeging	postcode	Plaatsnaam"
"Tom&Co	chaussé de Waterloo	1093		1180	Bruxelles"
"Tom&Co	Bosdel	26	Bus 3600	Genk"
"Tom&Co	Rue Mitoyenne	11	J	Baelen"
"Tom&Co	Centre Commercial Shop in Stock - rue du CimetiŠre	3			Fosses-la-Ville"
"Tom&Co	Route de Charlemagne	21	/6		Couvin"
"Tom&Co	Route Nationale	9			Frameries"
